"id,fecha,descripcion,solicitante",descripcion_limpia,categoria
"1,2025-01-10,""Mi computadora no inicia desde ayer"",juan.perez",120250110mi computadora inicia ayerjuanperez,TI
"2,2025-01-10,""Necesito actualizar mi información bancaria"",maria.lopez",220250110necesito actualizar información bancariamarialopez,Soporte General
"3,2025-01-10,""No puedo acceder al portal de recursos humanos"",ana.silva",320250110no puedo acceder portal recursos humanosanasilva,Soporte General
"4,2025-01-10,""La impresora de la oficina se atascó"",carlos.mendez",420250110la impresora oficina atascócarlosmendez,Soporte General
"5,2025-01-10,""Solicito constancia laboral"",luis.garcia",520250110solicito constancia laboralluisgarcia,RRHH
"6,2025-01-10,""Error crítico al abrir el sistema financiero"",sofia.vargas",620250110error crítico abrir sistema financierosofiavargas,TI
"7,2025-01-11,""El correo corporativo no sincroniza"",juan.perez",720250111el correo corporativo sincronizajuanperez,Soporte General
"8,2025-01-11,""Cómo consulto mis días de vacaciones?"",maria.lopez",820250111cómo consulto días vacacionesmarialopez,RRHH
"9,2025-01-11,""Bloqueo total en el sistema de nómina"",ana.silva",920250111bloqueo total sistema nóminaanasilva,TI
"10,2025-01-11,""Factura duplicada en el sistema financiero"",carlos.mendez",1020250111factura duplicada sistema financierocarlosmendez,TI
"11,2025-01-11,""Pantalla azul al iniciar la laptop"",luis.garcia",1120250111pantalla azul iniciar laptopluisgarcia,TI
"12,2025-01-12,""Requiero cambio de tarjeta de acceso"",sofia.vargas",1220250112requiero cambio tarjeta accesosofiavargas,TI
"13,2025-01-12,""Solicitud de ajuste de sueldo"",juan.perez",1320250112solicitud ajuste sueldojuanperez,RRHH
"14,2025-01-12,""Error de base de datos en módulo TI"",maria.lopez",1420250112error base datos módulo timarialopez,TI
"15,2025-01-12,""Necesito soporte con VPN"",ana.silva",1520250112necesito soporte vpnanasilva,TI
"16,2025-01-12,""Problema con depósito de salario"",carlos.mendez",1620250112problema depósito salariocarlosmendez,Soporte General
"17,2025-01-12,""Sistema de facturación no carga"",luis.garcia",1720250112sistema facturación cargaluisgarcia,TI
"18,2025-01-12,""Solicitud de carta patronal"",sofia.vargas",1820250112solicitud carta patronalsofiavargas,Soporte General
"19,2025-01-13,""El teclado no funciona"",juan.perez",1920250113el teclado funcionajuanperez,TI
"20,2025-01-13,""Revisión de reembolso"",maria.lopez",2020250113revisión reembolsomarialopez,Finanzas
